Position_mm,FFT_Width,Filename
194.8,24.817212404090252,-301.csv
194.9,24.79375232459128,-300.csv
195.0,24.772417223146803,-299.csv
195.1,24.74569149060577,-298.csv
195.2,24.72188922015299,-297.csv
195.3,24.699021058450505,-296.csv
195.4,24.681708324591693,-295.csv
195.5,24.66256410861136,-294.csv
195.6,24.62728935073079,-293.csv
195.7,24.614692564885395,-292.csv
195.8,24.570345585651843,-291.csv
195.9,24.555795090363965,-290.csv
196.0,24.515175310290847,-289.csv
196.1,24.50783955952108,-288.csv
196.2,24.482216986221093,-287.csv
196.3,24.460398109596166,-286.csv
196.4,24.444578497625308,-285.csv
196.5,24.417001894569868,-284.csv
196.6,24.385260685672534,-283.csv
196.7,24.365210082948202,-282.csv
196.8,24.355505861703282,-281.csv
196.9,24.32569758589392,-280.csv
197.0,24.306782126303897,-279.csv
197.1,24.29643603512675,-278.csv
197.2,24.26623053561064,-277.csv
197.3,24.233408309410127,-276.csv
197.4,24.228186222570105,-275.csv
197.5,24.188078821599795,-274.csv
197.6,24.165456781526142,-273.csv
197.7,24.16213090871544,-272.csv
197.8,24.149334127893106,-271.csv
197.9,24.09987710891892,-270.csv
198.0,24.086358434874764,-269.csv
198.1,24.070898469187565,-268.csv
198.2,24.05403251578106,-267.csv
198.3,24.02557004458121,-266.csv
198.4,24.019955258200525,-265.csv
198.5,23.976673873827785,-264.csv
198.6,23.96401518141092,-263.csv
198.7,23.940463352115888,-262.csv
198.8,23.935244550988127,-261.csv
198.9,23.909419672319355,-260.csv
199.0,23.883491835498077,-259.csv
199.1,23.856599718904764,-258.csv
199.2,23.847848764404844,-257.csv
199.3,23.82915980669199,-256.csv
199.4,23.80151305533349,-255.csv
199.5,23.7701455839646,-254.csv
199.6,23.75110204935966,-253.csv
199.7,23.730542287862114,-252.csv
199.8,23.718189997872155,-251.csv
199.9,23.69027312452352,-250.csv
200.0,23.685109467360075,-249.csv
200.1,23.64814928155444,-248.csv
200.2,23.626329401606284,-247.csv
200.3,23.604388467412626,-246.csv
200.4,23.5815681529582,-245.csv
200.5,23.57305628077077,-244.csv
200.6,23.523232889756255,-243.csv
200.7,23.511432415544885,-242.csv
200.8,23.486872267453624,-241.csv
200.9,23.475582606777316,-240.csv
201.0,23.4381596121858,-239.csv
201.1,23.427497175586467,-238.csv
201.2,23.398655828641566,-237.csv
201.3,23.367070594353372,-236.csv
201.4,23.34869097474986,-235.csv
201.5,23.326004004108754,-234.csv
201.6,23.31898652545932,-233.csv
201.7,23.29796568874322,-232.csv
201.8,23.265880679402805,-231.csv
201.9,23.246913824606892,-230.csv
202.0,23.228275025502782,-229.csv
202.1,23.210029756963948,-228.csv
202.2,23.192619161100954,-227.csv
202.3,23.173550790349843,-226.csv
202.4,23.157113592999643,-225.csv
202.5,23.14015301948133,-224.csv
202.6,23.123765465074268,-223.csv
202.7,23.103504798120202,-222.csv
202.8,23.082978186212213,-221.csv
202.9,23.07017276361146,-220.csv
203.0,23.04967890564192,-219.csv
203.1,23.03241360323397,-218.csv
203.2,23.011511710903797,-217.csv
203.3,23.000163339590692,-216.csv
203.4,22.962118472632685,-215.csv
203.5,22.950470920530297,-214.csv
203.6,22.932398543195326,-213.csv
203.7,22.91074132148559,-212.csv
203.8,22.88191608597422,-211.csv
203.9,22.862662390712753,-210.csv
204.0,22.834802849786232,-209.csv
204.1,22.821046120596836,-208.csv
204.2,22.798875972431272,-207.csv
204.3,22.78488680869938,-206.csv
204.4,22.760032136487165,-205.csv
204.5,22.744126238415774,-204.csv
204.6,22.733810199555965,-203.csv
204.7,22.710635412783372,-202.csv
204.8,22.691454695107684,-201.csv
204.9,22.671388262425953,-200.csv
205.0,22.655457877226937,-199.csv
205.1,22.64580121308301,-198.csv
205.2,22.618039161912865,-197.csv
205.3,22.5961030300859,-196.csv
205.4,22.588969364139523,-195.csv
205.5,22.552759497749935,-194.csv
205.6,22.547136561201583,-193.csv
205.7,22.503795215689443,-192.csv
205.8,22.488905146840075,-191.csv
205.9,22.454738732835658,-190.csv
206.0,22.4286213584726,-189.csv
206.1,22.40530908754296,-188.csv
206.2,22.39576897034388,-187.csv
206.3,22.359791153606697,-186.csv
206.4,22.34365856398754,-185.csv
206.5,22.318930527167332,-184.csv
206.6,22.296796639162707,-183.csv
206.7,22.29009990219521,-182.csv
206.8,22.27259743960923,-181.csv
206.9,22.23960363345034,-180.csv
207.0,22.223155006586435,-179.csv
207.1,22.204820186655855,-178.csv
207.2,22.196242861535392,-177.csv
207.3,22.16834372850674,-176.csv
207.4,22.158842821860997,-175.csv
207.5,22.130960789340293,-174.csv
