Filename,Position_mm,Segment_Count,Teacher_Width,Student_Width,BaselineA_Width,BaselineB_Width,Teacher_Pos_Pred,Student_Pos_Pred,BaselineA_Pos_Pred,BaselineB_Pos_Pred,Teacher_Error_mm,Student_Error_mm,BaselineA_Error_mm,BaselineB_Error_mm,Student_vs_Teacher_WidthErr,BaselineA_vs_Teacher_WidthErr,BaselineB_vs_Teacher_WidthErr,BaselineA_Latency_ms,BaselineB_Latency_ms
-197.csv,205.2,8,22.618039161912865,22.59868049621582,22.56743638070014,22.22958476974014,205.04312079347696,205.1414897899261,205.30061725670004,207.0505164681436,-0.15687920652302978,-0.05851021007387658,0.10061725670004762,1.85051646814361,-0.019358665697044586,-0.050602781212724324,-0.3884543921727257,2.1323999999367516,6.380400000125519
-196.csv,205.3,9,22.5961030300859,22.585638682047527,22.541757000793883,22.23396033608351,205.15459990321122,205.2078575369496,205.43174085279043,207.02750575936764,-0.14540009678879073,-0.09214246305040774,0.13174085279041492,1.7275057593676308,-0.010464348038372151,-0.054346029292016595,-0.3621426940023902,3.7199999999302236,5.869000000075175
-184.csv,206.5,9,22.31893052716733,22.31256781684028,22.284031323865186,22.343141672960755,206.58248378130406,206.6156877598919,206.7648446506093,206.45631398320768,0.08248378130406309,0.11568775989189817,0.26484465060929097,-0.043686016792321425,-0.006362710327049825,-0.03489920330214247,0.024211145793426425,2.2444999999606807,7.191400000010617
-176.csv,207.3,9,22.16834372850674,22.167692608303494,22.129108208558268,22.538059635631047,207.37355220848244,207.376996557265,207.58147347090093,205.45064542337374,0.07355220848242539,0.07699655726497667,0.2814734709009201,-1.8493545766262685,-0.000651120203247757,-0.039235519948473296,0.3697159071243057,2.3287000001346314,5.912699999953475
-169.csv,208.0,8,22.05005875354293,22.05360221862793,21.99745599930952,23.047992887897244,208.00267898786197,207.9837319610557,208.28468179772236,202.90186471492686,0.0026789878619695173,-0.016268038944303953,0.2846817977223566,-5.098135285073141,0.003543465084998587,-0.052602754233411986,0.9979341343543133,2.1411000000171043,5.9208999998645595
-160.csv,208.9,9,21.844217429638903,21.90180842081706,21.824666949994636,21.179170677246013,209.11410938396583,208.8009970030455,209.22078625438758,212.85612027635577,0.2141093839658197,-0.09900299695451054,0.3207862543875706,3.9561202763557617,0.057590991178155804,-0.01955047964426626,-0.6650467523928896,3.141500000083397,10.154999999940628
-158.csv,209.1,7,21.81868700545428,21.832642691476003,21.80523354877739,21.204145046032387,209.25345477283722,209.17724315517458,209.327018183895,212.71125599952492,0.15345477283722175,0.07724315517458535,0.22701818389501227,3.6112559995249285,0.013955686021724034,-0.013453456676888464,-0.6145419594218922,1.912899999979345,4.7325000000455475
-154.csv,209.5,8,21.74773793589243,21.728734731674194,21.739036867082902,21.25356053093096,209.64245287772056,209.74708444283016,209.6903377047625,212.4256473044162,0.14245287772055804,0.2470844428301575,0.19033770476249856,2.925647304416202,-0.019003204218236647,-0.008701068809529033,-0.49417740496146934,2.1266000001105567,7.057199999962904
-147.csv,210.2,9,21.64406453475405,21.703647401597763,21.62358078864878,21.31063500702994,210.215562489247,209.8855022127601,210.32946234334088,212.09745846640308,0.015562489247002986,-0.31449778723990107,0.12946234334089013,1.8974584664030942,0.05958286684371217,-0.020483746105270484,-0.3334295277241104,2.5236999999833643,7.172299999865572
-144.csv,210.5,8,21.585776877334883,21.64143705368042,21.55556425036673,21.367257860635405,210.54025164927373,210.23016026422178,210.70925683471575,211.77363934215185,0.04025164927372771,-0.26983973577821985,0.2092568347157453,1.2736393421518528,0.05566017634553688,-0.03021262696815441,-0.21851901669947793,4.140900000038528,7.483599999886792
-142.csv,210.7,8,21.554970039154902,21.573949575424194,21.523995268558593,21.389085906753944,210.71258562879225,210.6063542322723,210.88636786301205,211.64927593133632,0.01258562879226588,-0.09364576772767919,0.18636786301206598,0.9492759313363308,0.01897953626929194,-0.030974770596309043,-0.1658841324009579,2.019799999970928,9.418000000096072
-128.csv,212.1,9,21.29949083444104,21.309679879082573,21.282455534029506,21.682567754441152,212.16139811970785,212.10293582849204,212.25927053609158,210.002061157703,0.06139811970786013,0.002935828492041992,0.15927053609158293,-2.0979388422969976,0.010189044641531808,-0.01703530041153556,0.38307692000011073,2.277800000001662,5.539700000099401
-123.csv,212.6,9,21.21888011938137,21.217664930555557,21.19634241970746,21.899273199778698,212.62594863957975,212.6329792763321,212.7564777487615,208.81474512834427,0.025948639579752353,0.032979276332099516,0.15647774876151743,-3.7852548716557237,-0.00121518882581384,-0.022537699673911504,0.6803930803973266,3.0650999999579653,6.262800000058633
-122.csv,212.7,8,21.20134517179133,21.196887254714966,21.176677890842992,21.966060194497437,212.72747933619686,212.75331893722398,212.87059892366204,208.45365255735805,0.027479336196876147,0.053318937223991725,0.1705989236620553,-4.246347442641934,-0.004457917076365447,-0.024667280948339254,0.7647150227061061,2.205000000003565,6.558699999914097
-119.csv,213.0,9,21.1498414891736,21.134495629204643,21.118093635093405,22.07547147254371,213.0266918321485,213.1161327832616,213.21187634503903,207.86693396729189,0.026691832148486583,0.11613278326160525,0.2118763450390304,-5.133066032708115,-0.015345859968956432,-0.031747854080194315,0.9256299833701114,2.3183000000699394,8.269299999938085
-109.csv,214.0,9,20.982286640165817,20.998139487372505,20.961835523047935,20.247368548206605,214.01051116708442,213.9167407879147,214.1316950181435,218.52273874929628,0.010511167084416684,-0.08325921208529508,0.13169501814348905,4.5227387492962805,0.01585284720668767,-0.020451117117882944,-0.7349180919592122,2.3664000000280794,6.431400000110443
-98.csv,215.1,9,20.803965157830877,20.814031812879776,20.786655860412512,20.449458783128573,215.07537172766513,215.01476036387817,215.17973160541933,217.24883509217182,-0.024628272334865642,-0.08523963612182683,0.07973160541934021,2.1488350921718222,0.01006665504889881,-0.017309297418364622,-0.3545063747023036,2.3888000000624743,5.749100000002727
-92.csv,215.7,9,20.709809871076573,20.71603626675076,20.684840690470487,20.475645610761507,215.6452024997352,215.60735637462236,215.7972079644423,217.08564786725128,-0.05479750026478314,-0.09264362537763304,0.09720796444230473,1.3856478672512935,0.006226395674186591,-0.024969180606085217,-0.23416426031506532,4.321699999991324,10.05669999995007
-85.csv,216.4,8,20.59777143732636,20.617874145507812,20.581012401864566,20.48881265919398,216.33021425741165,216.20674344732754,216.43333704953096,217.0037568180046,-0.06978574258835124,-0.1932565526724659,0.03333704953095662,0.603756818004598,0.02010270818145088,-0.01675903546179569,-0.10895877813238286,2.914800000098694,8.016100000077131
-82.csv,216.7,9,20.54081010847753,20.559462865193684,20.525915686840296,20.612492634287715,216.6814150318094,216.56619011861886,216.77357735287197,216.23977250710388,-0.018584968190594964,-0.1338098813811257,0.07357735287197897,-0.4602274928961094,0.018652756716154073,-0.014894421637233535,0.07168252581018564,2.2993999998561776,7.237900000063746
-76.csv,217.3,8,20.45192288879092,20.466226816177368,20.434595930105516,20.675223920589463,217.2334613961274,217.14429326994835,217.341645823748,215.8558524891111,-0.06653860387260124,-0.15570673005166213,0.04164582374798442,-1.4441475108889108,0.014303927386446702,-0.017326958685405458,0.22330103179854177,2.984400000059395,8.16579999991518
-73.csv,217.6,9,20.441238957660897,20.421924591064453,20.421269233160714,20.690879621408012,217.30014650968468,217.42088098001088,217.4249817383052,215.76041017983357,-0.2998534903153143,-0.17911901998911617,-0.17501826169478818,-1.8395898201664238,-0.019314366596443477,-0.019969724500182195,0.24964066374711535,2.880999999888445,6.0429000000112865
-71.csv,217.8,8,20.37765440465204,20.396056413650513,20.35430553029047,20.73694805372123,217.69849932727885,217.58295039570785,217.84541843704642,215.4804178415084,-0.10150067272115848,-0.21704960429215703,0.04541843704640769,-2.319582158491613,0.01840200899847133,-0.023348874361570182,0.3592936490691869,2.0400000000790897,5.542500000046857
-59.csv,219.0,9,20.19018168622477,20.202640109592014,20.169230392554898,20.94534136672179,218.88796737123874,218.80822012146785,219.02230571629366,214.22960824060723,-0.11203262876125564,-0.19177987853214518,0.022305716293658406,-4.770391759392766,0.012458423367245786,-0.020951293669870807,0.7551596804970231,3.3369000000220694,6.1591999999563996
-52.csv,219.7,9,20.07950417178557,20.079672707451714,20.069482449324973,19.246090482312848,219.6008741976825,219.59978248662782,219.66582494905174,225.23928985092996,-0.09912580231750212,-0.1002175133721721,-0.034175050948249464,5.5392898509299755,0.00016853566614472015,-0.010021722460596294,-0.8334136894727209,2.243899999939458,9.232200000042212
-44.csv,220.5,8,19.969981903198565,19.983825206756592,19.95878527615299,19.77752087628445,220.31431247223344,220.22369339854802,220.38770049316065,221.58764635662493,-0.18568752776656083,-0.27630660145197794,-0.1122995068393493,1.08764635662493,0.01384330355802632,-0.011196627045574559,-0.19246102691411693,2.1436000001813227,5.02739999978985
-34.csv,221.5,9,19.787366890930688,19.803519354926216,19.77658720671735,19.887163623122632,221.52188821190018,221.41415664467326,221.59388549893012,220.85914676925478,0.021888211900176202,-0.08584335532674459,0.09388549893012055,-0.6408532307452219,0.016152463995528166,-0.010779684213339635,0.09979673219194396,2.2833999998965737,7.362800000009884
-24.csv,222.5,9,19.62999822082161,19.646387312147354,19.623971015050493,20.233795647678786,222.58099831177088,222.46988619176742,222.62190845116044,218.60923175727757,0.0809983117708839,-0.030113808232584915,0.12190845116043647,-3.89076824272243,0.016389091325745397,-0.006027205771115263,0.6037974268571773,2.7225999999700434,6.1281000000690256
-21.csv,222.8,9,19.583470283833925,19.607559627956814,19.57662424323266,20.284673432443054,222.89748013346835,222.7334327633588,222.94417691369753,218.2856250842515,0.09748013346833773,-0.06656723664121955,0.14417691369752106,-4.514374915748505,0.024089344122888434,-0.006846040601264036,0.7012031486091281,2.482599999893864,8.017500000050859
